SEGMENT_ID,BHC_NAME,RSSD_ID,REPORTING_MONTH,PORTFOLIO_ID,# Accounts,$ Outstandings,# New accounts,$ New accounts,Interest rate,$ Vehicle type car/van,$ Vehicle type SUV/truck,$ Vehicle type sport/luxury/convertible,$ Vehicle type unknown,$ Repossession,$ Current Month Repossession,$ Gross contractual charge-offs,$ Bankruptcy charge-offs,$ Recoveries,$ Net charge-offs,Adjustment Factor,$ Ever 30DPD in last 12 months,$ Ever 60DPD in last 12 months,Projected Value,Actual Sale Proceeds,Original Term ≤ 48 Months,Original Term 49-60 Months,Original Term 61-72 Months,Original Term > 72 Months,$ Origination Channel (Direct),$ Loss Mitigation,$ Joint Application,Probability of Default (PD),Loss Given Default (LGD),Expected Loss Given Default (ELGD),Risk-Weighted Asset (RWA),$ Unpaid Principal Balance at Charge-off,Percent Loss Severity (3-Month Lagged),Weighted Average Life of Loans
480030531176,Bank 960,4610633,07/2016,Auto,254,847654.93,317,423190.84,23.19,485547.73,486738.01,36678.77,961.41,21152.95,2462.55,2901.11,34578.45,32259.89,45420.16,4755.31,14646.44,20470.94,24714.2,35363.06,211891,69785.88,89567.34,482394.88,462152.14,38649.31,431611.36,0.0585,0.2339,0.1655,333561.63,303261.62,0.1534,16
338386090525,Bank 978,3860847,06/2023,Auto,525,921686.77,240,120885.68,7.92,276593.28,250881.34,161991.91,3020.96,40910.32,2827.68,23813.68,24118.78,40429.03,4419.28,2191.35,27542.76,60975.3,36494.59,8216.51,431605.22,402567.98,109439.08,55045.9,100375.09,347946.5,80155.5,0.5672,0.5936,0.2821,75387.52,492446.66,0.7953,39
735085623756,Bank 563,9969108,10/2015,Auto,889,855748.92,79,356867.78,14.98,349871.17,244155.96,67020.21,4072.44,86.75,8977.9,42825.28,18248.14,36783.75,39367.87,-2983.5,10262.46,2095.43,17198.88,9967.34,396760.11,356211.04,102941.13,488235.39,494991.92,336492.84,419067.8,0.7033,0.354,0.9913,171807.76,312213.67,0.9055,29
670041914580,Bank 212,7714805,06/2022,Auto,23,238846.9,489,410276.03,21.92,186001.3,403039.25,78053.68,2904.25,45807.87,7636.63,5012.38,12949.41,39266.4,21509.68,4732.72,37689.7,94748.71,9760.58,34296.88,366886.54,488012.56,313613.47,266761.04,346985.07,243788.16,123145.15,0.4822,0.898,0.034,107298.26,209433.05,0.6135,31
120524272706,Bank 309,1136083,12/2017,Auto,606,489140.86,129,463177.68,26.7,306350.08,76461.04,205185.47,3067.18,3905.52,4587.33,27719.36,26660.81,29006.66,1193.31,4590.5,3912.56,89816.12,1193.46,7593.68,309025.73,26464.19,454299.38,335006.04,212216.71,319674.79,377503.84,0.6264,0.5458,0.8416,121944.61,68697.41,0.2938,17
689816780749,Bank 221,2814710,12/2018,Auto,861,963029.14,152,348992.66,9.27,230273.31,342027.26,157584.56,81.54,390.01,8034.05,37705.95,33422.02,1499.55,5628.77,-3615.79,32338.32,82110.84,48663.52,46703.28,54313.42,282245.19,344118.5,290775.41,292538.82,157465.9,194973.96,0.6888,0.5009,0.3856,123604.02,106325.61,0.2354,65
612735129799,Bank 784,2276003,09/2015,Auto,359,668256.79,66,121934.55,22.34,424946.24,188447.95,31419.86,4276.33,47822.74,6240.62,2608.35,44039.37,13369.96,34759.26,-535.74,28471.16,94500.97,11480.77,27102.83,273744.05,83807.94,408263.11,482820.23,246034.11,379613.16,203383.01,0.1107,0.0679,0.1974,428478.64,375118.06,0.9492,80
425649778021,Bank 501,7280790,01/2017,Auto,443,65535.3,42,491913.54,0.88,150536.33,145682.82,202435.84,1587.98,13846.73,9803.71,28316.97,14108.01,14185.73,2837.91,4194.86,54850.53,35029.24,24231.74,19373.23,61598.49,476700.45,345622.09,53162.03,422831.21,446169.17,377609.97,0.9694,0.769,0.2654,468421.62,320404.82,0.6726,81
602616943927,Bank 670,2612933,01/2022,Auto,781,589610.58,437,193781.85,5.98,83701.17,406535.52,438046.55,763.78,5112.69,3624.12,13045.72,10854.17,12022.02,45186.78,-515.85,48721.22,47252.21,35261.8,41806.91,412374.27,396969.09,393615.78,265382.75,427848.24,136676.74,325584.12,0.7405,0.4468,0.296,409507.31,211143.86,0.3766,50
356885447687,Bank 592,8280985,10/2017,Auto,907,416807.74,25,188897.34,9.45,344462.37,239098.63,462876.12,3575.16,18656.53,6892.93,25030.98,19753.48,268.22,33082.82,-1644.92,30222.05,52092.06,21856.23,42517.33,334313.98,271741.02,145529.56,273418.15,376425.73,116576.25,360734.06,0.6115,0.9749,0.0766,246630.24,257366.64,0.3892,54
580894129578,Bank 453,5048712,02/2020,Auto,519,463811.77,102,3887.54,27.16,104823.37,121534.28,442066.49,1528.38,43173.59,5892.97,14657.73,4977.31,41535.99,46056.9,1864.04,93980.59,66734.76,7362.19,42307.24,153419.29,341702.93,258594.58,317712.6,322562.57,123429.45,260409.46,0.0483,0.9421,0.2753,446145.02,466533.08,0.5531,57
238605426604,Bank 660,3826203,12/2024,Auto,157,157326.58,98,408436.36,26.95,412669.25,339352.94,370346.51,1100.51,31776.47,8442.71,38225.78,45793.22,42010.46,18893.98,-4587.04,84674.93,80821.93,14780.61,18807.88,312082.75,380673.67,86184.07,243620.54,42149.51,463315.15,497826.51,0.2099,0.6392,0.1664,291070.47,120718.58,0.4214,68
228272601352,Bank 350,3343132,11/2018,Auto,494,856720.46,121,216670.16,21.47,223646.31,142696.2,337458.55,4996.62,22091.38,50.92,31718.27,29936.03,23381.44,13861.94,-1037.06,22473.23,21604.98,37387.89,15172.1,362607.75,2573.75,229730.69,185088.08,315081.99,38377.31,495030.71,0.8359,0.4647,0.586,286186.27,98491.94,0.3785,47
812504648103,Bank 743,2327915,03/2025,Auto,277,628524.57,420,192380.12,11.97,242466.14,20259.1,319858.55,2539.55,49008.91,8185.29,8787.78,47830,14818.47,31702.42,-1672.61,68995.46,17631.16,4109.37,36815.4,22599.85,162216.27,81962.59,431967.69,367666.86,112948.05,202195.23,0.5106,0.0148,0.0691,215392.46,356281.95,0.7063,75
87421007386,Bank 312,2355303,10/2023,Auto,661,899605.05,39,207084.48,0.69,133293.66,447626.78,342610.51,3484.23,18372.31,6896.48,15867.39,35957.13,20733.52,15374.45,-1584.18,82744.62,73968.41,45360.8,32365.86,477909.58,222073.22,43718,102555,441109.16,189930.5,66214.42,0.462,0.1511,0.8882,41413.97,24719.7,0.9921,61
666898801743,Bank 904,3106584,03/2015,Auto,468,748621.89,51,148001.12,26.68,449973.11,120149.62,236457.77,536.94,29335.45,2531.71,18610.08,6846.45,4048.54,35019.85,-208.97,65372.57,59048.33,32262.6,2875.15,158339.89,368592.1,73012.18,83982.12,278372.38,188543.12,426012.58,0.5471,0.453,0.4759,160910.93,232686.21,0.5277,28
24042104777,Bank 793,5350532,05/2021,Auto,576,190257.63,261,18222.37,0.23,266285.04,415043.55,367412.02,3817.51,46173.59,9342.78,35989.47,45796.88,11114.92,41504.23,-158.87,51437.36,73717.52,9835.06,12855.12,154727.62,239851.02,358963.24,82796.72,183685.78,441808.64,359529.48,0.9824,0.3111,0.2829,442527.36,248622.29,0.3849,64
853655699227,Bank 166,6077278,12/2020,Auto,396,935341.11,352,210138.22,23.7,20290.1,93440.97,262110.43,60.05,20383.34,8803.05,46078.76,775.9,44734.22,19666.74,3033.75,7299.27,505.45,6742.82,41389.24,178700.16,300083.65,327367.85,391229.87,86880.97,475236.24,328016.18,0.9144,0.942,0.768,144998.76,181428.54,0.4992,22
127905569454,Bank 794,6315044,04/2015,Auto,363,291354.59,166,428365.1,17.67,1422.68,1090.44,437254.81,11.55,39602.52,900.07,13942.01,15777.29,3292.09,29450.94,-4173.83,22500.47,1486.82,2837.47,31738.07,8701.01,143181.56,104197.96,346190.96,172531.75,469411.72,670.39,0.591,0.6596,0.4256,235633.18,133653.41,0.8198,33
997402901730,Bank 100,2734540,02/2022,Auto,361,124809.92,324,20074.15,13.3,373979.8,430425.29,26804.78,3232.01,12528.9,2310.95,13871.01,46542.77,47610.58,43769.08,-3468.55,62214.92,44714.56,35310.87,41996.14,86442.08,406937.09,21694.27,332364.75,232049.38,449598.96,330676.56,0.0976,0.8795,0.9821,321519.29,202944.42,0.4199,36
599814902219,Bank 250,5394670,01/2018,Auto,353,712278.5,34,226873.09,5.67,278717.3,313819.68,242174.15,1916.36,12651.5,7926.96,26541.36,31979.77,9646.43,4688.52,695.64,62289.78,79725.3,43381.44,8038.71,17844.71,403036.06,307958.7,75847.67,106396.81,104646.49,386799.78,0.6048,0.9261,0.3645,452830.08,368463.09,0.2221,55
128986635583,Bank 938,6153008,02/2022,Auto,233,499779.59,143,452586.05,13.17,488273.81,251945.26,74250.36,1603.3,29597.81,9504.81,7873.36,21982.53,19062.25,29079.68,-295.14,70979.95,6308.84,5735.66,9892.31,84038.89,98587.27,333724.31,250061.01,83005.67,467276.14,341533.78,0.4995,0.5035,0.2298,4406.11,306491.66,0.5145,67
4978594585,Bank 618,5161114,02/2022,Auto,986,44740.53,196,201405.46,28.88,405248.88,21211.52,475314.72,3086.7,23635.13,128.05,46761.23,10134.17,27928.37,45002.3,212.7,83570,19021.07,6696.08,6469.21,459072.02,281817.1,284214.85,334295.15,164668.82,86928.57,304922.74,0.4381,0.868,0.8013,41888.17,233773.07,0.8514,63
501700380549,Bank 485,3124355,06/2020,Auto,856,81148.39,278,339043.99,17.4,437235.17,196597.38,411492.96,4134.55,28911.03,1913.89,28919.04,32560.34,40097.97,36750.57,-1761.04,25571.44,83376.26,24538.83,4061.15,477648.86,299436.53,333128.17,76779.14,289795.76,199173.67,350843.98,0.1625,0.9861,0.6772,23306.68,287246.54,0.0134,42
639358491607,Bank 519,6344260,07/2023,Auto,3,641754.05,275,142470.04,27.81,444693.45,496290.81,309694.1,1231.94,18702.8,6152.21,19469,26199.25,4104.56,39498.28,464.33,21024.05,6569.57,16719.77,2240.33,474999.97,309954.92,292767.34,38694.16,176105.86,349525.52,356482.82,0.8972,0.9586,0.1974,168857.6,245891.27,0.0079,18
356186798545,Bank 465,8481170,08/2025,Auto,473,836803.69,434,185181.4,8.42,439061.15,139243.13,324992.52,2116.83,24441.58,5875.44,27846.76,40583.96,20617.07,6609.67,-4377.92,90431.63,99061.42,4860.54,44861.84,205123.25,394163.72,48121.2,251649.98,348431.44,259643.02,385126.72,0.8081,0.246,0.5899,41654.11,445713.54,0.7262,77
448129560275,Bank 540,2508634,12/2023,Auto,319,138875.38,18,99494.59,8.67,162373.5,161255.87,125051.67,3829.61,10625.03,4095.41,36710.85,5869.36,9864.14,38570.72,-4724.14,99948.05,8923.04,2008.74,14001.17,452090.97,217181.25,376845.58,408788.53,499617.03,330480.11,272388.69,0.5844,0.7375,0.9345,409946.73,388925.39,0.7038,54
172057610079,Bank 598,4573816,01/2020,Auto,995,797275.04,43,156612.04,26.66,131876.08,207078.77,222879.13,1178.73,5150.35,5028.29,2564.08,20835.18,5974.48,19722.2,-416.77,10672.72,54213.62,2724.48,18139.9,62980.8,452870.12,372960.16,66662.29,282211.85,77256.21,160907.68,0.4922,0.103,0.8919,225185.09,390494.27,0.894,19
450928610533,Bank 485,1256998,02/2018,Auto,219,766964.14,412,144730.07,23.2,414545.61,377884.82,456496.41,2693.64,20723.46,5958.12,25564.4,49829.19,10133.19,7514.23,1473.28,87274.27,41467.84,17963.99,6171.03,378743.9,317703.25,315176.56,244221.19,101976.56,34191.15,458666.27,0.971,0.8316,0.9305,340579.67,459554.1,0.3541,13
495990814890,Bank 925,5681182,07/2024,Auto,464,714940.83,462,185345.48,29.59,322621.93,313337.58,49182.83,1732.73,28715.23,767.43,16914.53,35032.73,17914.42,46041.65,-3747.34,9309.09,33118.64,43583.83,40262.29,213043.16,277217.54,245590.65,243784.18,240232.55,74169.45,204116,0.8909,0.034,0.0413,296126.3,384347.75,0.5911,77
404955241931,Bank 482,2824753,03/2021,Auto,301,964070.97,130,475266.56,9.72,195145.57,70361.83,138628.07,4387.96,31608.14,5195.56,2231.15,17808.37,9876.44,3117.86,-2844.16,10832.68,23712.67,41458.97,33907.53,204356.28,284201.91,437668.51,131350.6,416378.24,227955.57,120882.47,0.6728,0.8491,0.3589,211785.6,244244.31,0.3172,61
562149395824,Bank 917,2368247,01/2015,Auto,51,758073.38,9,305831.55,12.15,302199.89,465947.45,252689.22,1962.73,35999.81,8878.44,47207.12,42432.66,22310.78,17460.63,-1001.59,99724.55,57220.82,36390.62,6982.36,312757.57,294520.31,106298.85,399956.53,386493.56,384244.09,124595.09,0.5939,0.3529,0.178,366817.24,140323.05,0.0383,23
676881541529,Bank 809,6357058,12/2024,Auto,296,165315.57,99,387996.35,3.72,83280.04,131121.46,339693.16,793.5,18324.92,9129.17,25377.28,42349.47,34763.02,41320.53,-4879.77,22918.32,34909.39,4539.29,10748.31,351952.94,84847.9,94419.89,483621.78,78944.71,441917.43,186293.78,0.6848,0.1051,0.1664,52233.93,30206.62,0.1635,29
377594960480,Bank 229,8837367,11/2022,Auto,815,553637.51,454,328069.98,22.45,49293.74,291372.02,306274.41,202.52,40580.1,9320.32,42699.06,42965.04,26325.32,27608.91,-2399.52,72504.43,48082.27,37219.48,20968.52,41362.28,489961.4,176979.83,391847.71,36556.04,283843.27,366300.45,0.1782,0.6001,0.574,176924.99,455226.34,0.7997,50
647981220452,Bank 243,2685658,03/2020,Auto,154,915850.92,7,94650.99,2.97,385452.47,277505.21,119372.41,507.02,25556.69,3699.92,31069.65,23130.27,39318.59,24613.73,-1498.5,63911.52,19104.85,21721.32,34224.67,170383.7,93006.55,143020.67,340588.61,184694.27,282959.51,207501.59,0.8829,0.0979,0.9446,79233.69,46754.8,0.9345,50
325109962117,Bank 855,2841217,07/2015,Auto,242,989474.65,471,118897.46,24.08,287482.66,373001.37,82151.84,683.8,43064.26,7808.83,42487.75,45228.89,32339.34,23140.02,-198.9,97664.62,39899.21,14428.07,25624.81,109249.39,467839.02,106366.64,29016.99,395705.01,194976.04,230053.68,0.7609,0.5735,0.2577,474394.9,493942.22,0.3147,53
96065209525,Bank 545,3806097,10/2016,Auto,406,798302.66,236,303870.41,25.85,189563.5,246186.43,44363.12,2611.03,45905.86,7079.17,10399.77,14561.55,3560.03,11102.1,720.34,58984.6,9700.21,25816.08,27668.02,309371.24,301012.26,157899.67,4066.07,231989.46,356043.5,171224.52,0.7481,0.5621,0.0073,66535.6,331860.68,0.1556,22
900271750361,Bank 708,2413980,05/2022,Auto,883,215961.81,262,319344.63,3.09,229571.62,239527.67,225866.2,1800.75,40286.8,7579.26,1778.86,47625,25013.69,2021.56,2094.36,28875.09,2241.31,1403.12,10663.43,50383.85,163502.91,229952.57,457813.63,433562.49,111566.04,373596.42,0.3354,0.6986,0.997,33857.37,374392.71,0.5194,43
324694562542,Bank 588,8839732,12/2020,Auto,644,506215.15,89,299974.14,25.89,369350.48,480767.21,210739.78,393.29,7678.22,9064.45,3666.67,1469.47,6574.37,14296.99,1767.77,50240.56,68877.61,16122.97,46390.36,14481.96,311237.16,91209.55,328318.6,200025.34,29163.79,281570.83,0.3345,0.9533,0.5273,372930.54,178088.13,0.7469,65
423077158199,Bank 571,3703243,11/2018,Auto,619,689091.88,346,339267.14,6.74,341199.77,106878.65,401847.81,3168.65,18604.87,7764.09,15558.09,11831.72,46345.05,6784.6,-248.64,17023.16,3265.07,23364.29,30046.5,294413.63,453782.33,478407,392859.68,25597.36,248674.45,138000.08,0.1339,0.3427,0.1737,219375.22,402179.05,0.8501,26
121436665068,Bank 164,7181473,09/2016,Auto,402,998080.19,289,468999.9,2,490776.04,437879.13,173005.57,2696.32,46442.73,705.35,39534.17,31613.85,13642.58,14626.67,-2595.11,37867.15,45121.78,45758.37,31150.68,76051.69,158202.7,150528.55,474692.95,391510.69,281314.97,484304.49,0.7591,0.1586,0.0934,395421.71,242593.38,0.8121,26
39209345146,Bank 476,3080625,12/2016,Auto,856,734717.1,12,310805.06,22.81,226479.37,185051.5,140944.64,3544.72,9915.17,8477.3,42799.51,39817.05,48656.9,1937.38,-4579.26,25348.91,84964.71,32525.33,26571.59,32779.77,360100.08,168252.63,241363.69,79727.12,320965.97,375738.32,0.2242,0.298,0.7401,368576.65,313184.72,0.1523,43
705275770344,Bank 203,9928382,01/2025,Auto,866,92949.26,315,51032.8,16.99,186003.19,262986.9,276809.78,4188.02,33986.89,9638.81,38683.7,13853.92,12355.83,36040.77,1573.29,594.02,57340.69,34670.28,26347.31,143290.32,252738.18,51217.3,92345.28,347546.11,494503.14,113240.92,0.7745,0.3886,0.4228,257655.27,141990.21,0.4153,15
475735923889,Bank 799,3810967,03/2018,Auto,134,212101.35,214,9932.64,21.38,491917.72,343199.48,432410.05,1151.18,27350.9,8164.18,4879.25,47557.41,23988.71,19802.73,2293.48,82069.02,82758.23,38633.08,30846.21,475454.46,173781.38,217980.29,484700.63,202095.96,67839.71,317011.82,0.2335,0.0292,0.4198,197764.66,35001.3,0.0339,80
915435125188,Bank 542,1825007,09/2018,Auto,887,215428.74,78,463124.77,8.77,61348.46,293226.08,420314.33,442.47,29569.36,7954.35,27003.37,19004.79,7868.34,26582.55,3399.34,73855.49,24707.86,38758.27,26900.75,75831.91,211870.98,388899.63,141023.66,294375.89,77850,403056.58,0.9822,0.665,0.3964,141879.77,357198.22,0.672,30
445599971147,Bank 341,4023878,11/2024,Auto,876,946000.33,170,422013.57,5.25,343830.9,394731.35,3949.98,3353.51,28581.46,2783.73,7492.79,32428.19,43773.99,48371.11,366.37,41831.72,54187.35,33370.87,4389.91,102551.71,124039.41,278803.98,454475.35,269171.48,338504.86,306411.06,0.0394,0.2751,0.5041,267039.9,382275.11,0.8612,45
104570940123,Bank 372,8982601,07/2018,Auto,895,905230.73,370,385002.02,28.63,387816.99,158552.91,23894.54,4707.53,41428.85,1093.66,22511.72,49835.15,43630.23,47929.52,3167.91,86657.09,89398.38,2393.33,22112.64,45588.02,228136.44,430436.72,22254.71,207686.96,321911.23,136187.16,0.3328,0.0606,0.7523,6701.24,265161.97,0.3092,34
378299872199,Bank 210,9524213,12/2019,Auto,390,888810.24,220,183929.95,15.72,2714.63,120324.82,170610.29,3216.84,24612.31,3970.09,32188.58,20578.69,45404.25,47811.06,4313.85,73166.58,11645.92,33179.44,46147.2,372768.21,440039.07,279944.44,307801.17,251634.88,231816.67,394227.06,0.9883,0.6647,0.7135,126233.81,471296.93,0.928,32
460101073799,Bank 982,3965556,03/2016,Auto,675,495709.81,79,56137.28,26.63,497460.1,374095.5,165830.28,4038.25,21068.75,3320.14,44254.64,16685.25,43464.62,23139.77,-903.95,25168.71,8958.29,38365.96,47632.64,427519.33,440919.5,432300.92,180454,95430.85,421333.43,87536.01,0.7981,0.0851,0.6901,280525.71,68840.86,0.5004,26
445189607561,Bank 962,1438123,06/2022,Auto,923,650938.15,210,260838.04,7.59,10400.67,144865.82,273727.42,149.35,41749.7,7779.45,7610.33,17877.63,22873.72,6192.03,2713.67,74346.04,74516.01,5137.87,9901.41,380403.61,78328.5,342602.17,450536.49,494984.99,129638.14,106395.08,0.2682,0.6525,0.1216,425386.96,280136.71,0.3797,81
496556881180,Bank 212,1650524,04/2024,Auto,334,88351.6,160,292852.2,4.49,297228.06,309426,285625.23,2067.07,28064.33,7699.01,43219.86,20811.96,27131.8,18001.91,909.26,69913.17,22985.14,16636.73,6681.59,239359.74,268211.79,497954.6,42364.21,132278.21,24699.9,197640.39,0.6031,0.1768,0.4007,251709,389755.26,0.1316,23
783538656599,Bank 525,2416890,12/2021,Auto,280,952667.85,186,11784.56,13.77,263725.49,260294.73,414498.25,2616.9,46534.96,1326.52,28326.01,19944.52,17951.84,639.48,1909.62,56428.2,74293.62,34610.44,8857,414675.47,39640.9,309198.04,488565.38,227080.35,40895.91,272308.89,0.7297,0.7415,0.0111,105740.55,26656.1,0.6975,65
827027410462,Bank 274,5535611,02/2023,Auto,521,339287.77,427,124256.52,24.95,293959.52,478318.91,136079.3,773.93,13708.69,56.98,46249.35,27979.19,43838.52,8687.89,3676.5,12279.31,17208.79,33377.14,47301.92,176117.49,149762.54,94445.66,51709.12,128401.67,328468.28,284983.83,0.6951,0.4223,0.3922,231738.37,343750.78,0.8082,48
644925407029,Bank 456,6156357,03/2025,Auto,661,81399.05,200,336620.33,18.94,279871.84,276072.17,41520.04,1434.91,13348.71,7938.06,43693.08,37588.43,7063.03,14504.66,-2983.87,52244.85,85540.42,47402.01,45598.41,437685.6,311637.04,480004.82,48230.48,132441.73,323088.56,180562.87,0.7029,0.7108,0.6258,22685.03,57453.27,0.8504,50
961622446476,Bank 848,7124731,12/2024,Auto,536,162792.98,239,286646.59,19.83,46439.75,62649.49,160462.48,1704.61,33205.14,9770.91,37064.64,21458.22,37216.14,49908.41,-2874.55,78735.3,70892.09,2134.42,5203.44,343319.15,351390.26,257745.52,455110.6,198799.46,205976.7,380884.14,0.5885,0.9788,0.7389,62175.59,393566.52,0.631,53
55625245142,Bank 708,2518654,02/2021,Auto,983,851134.04,196,337627.72,21.68,348195.01,406963.27,165972.17,1065.89,6712.07,9911.96,14265.43,25442.39,27141.19,13718.65,3578.19,6325.43,14957.6,6676.28,2553.33,108942.74,311276.41,137791.37,460819.24,352672.12,255921.64,322434.14,0.3434,0.4603,0.8675,468123.62,274841.26,0.6563,59
716342312855,Bank 339,9098638,07/2019,Auto,294,47299.44,306,14592.02,19.8,86253.68,393712.29,323740.76,3108.84,30117.08,5693.68,6538.12,19844.97,5679.99,33224.38,-1092.4,75262.49,9214.62,24516.98,25368.74,110337.86,52496.64,205793.39,159833.58,202029.4,106820.84,171594.26,0.9023,0.6119,0.1265,143447.46,152262.43,0.8168,29
364539954247,Bank 410,2390645,01/2015,Auto,903,641207.94,423,437885.76,2.17,384557.2,459092.31,277348.44,1195.92,13491.84,8558.48,5942.16,14971.68,622.85,3180.76,920.61,24577.73,39032.35,5527.03,46456.57,421874.74,245628.49,329949.99,443056.82,441863.64,89037.75,167328.11,0.0563,0.662,0.481,485538.81,404083.03,0.1057,20
67581418724,Bank 524,2196553,02/2023,Auto,872,520452.75,117,447238.3,27.73,88962.08,135417.16,404227.6,1383.47,41118.73,8210.15,32954.14,48784.39,1518.81,44164.39,-147.17,60901.53,91892.2,27921.87,35763.13,347363.72,210555.04,309390.91,291152.02,117508.87,315583.4,438271.81,0.4731,0.0445,0.6395,412417.95,452830.32,0.166,25
443346660158,Bank 281,4166509,11/2016,Auto,661,164961.66,378,110147.86,0.17,406433.09,245563.86,457989.21,4011.07,9284.42,5282.51,19920.24,18709.67,12196.36,13504.35,-3756.68,33085.17,81373.83,31673.52,18018.12,216753.77,252188.03,290348.09,67077.25,455585.6,373594,214686.21,0.6275,0.9048,0.3719,203267.34,315375.73,0.842,55
670104959705,Bank 156,9181263,03/2023,Auto,925,74825.73,60,61225.67,24.17,432436.1,210270.51,396212.64,3312.39,41503.14,7678.37,35538.58,17146.77,27238.47,3485.39,-3036.72,47055.42,87056.05,14414.38,31698.57,255034.99,273617.24,64624.62,251322.52,457311.61,289258.43,274607.55,0.5434,0.4846,0.3628,290493.18,255119.18,0.65,54
